vote,public_key_id,honest,valid
0,37,1,1
1,45,0,1
2,15,1,1
3,21,1,1
4,21,1,1
5,30,1,1
6,4,1,1
7,57,1,1
8,14,1,1
9,12,1,1
10,18,1,1
11,9,0,1
12,13,0,1
13,42,0,1
14,9,0,1
15,17,1,1
16,42,0,1
17,6,0,1
18,19,1,1
19,4,1,1
20,7,0,1
21,25,1,1
22,27,1,1
23,32,1,1
24,5,1,0
25,23,0,1
26,7,0,1
27,37,1,1
28,16,1,1
29,44,0,1
30,23,0,1
31,28,1,1
32,0,1,1
33,14,1,1
34,3,1,1
35,16,1,1
36,7,0,1
37,11,0,1
38,28,1,1
39,10,1,1
40,44,0,1
41,12,1,1
42,21,1,1
43,23,0,1
44,29,1,1
45,9,0,1
46,18,1,1
47,10,1,1
48,21,1,1
49,10,1,1
50,7,0,1
51,4,1,1
52,60,1,1
53,25,1,1
54,45,0,1
55,21,1,1
56,14,1,1
57,8,1,1
58,26,0,1
59,11,0,1
60,3,1,1
61,62,1,1
62,53,1,1
63,7,0,1
64,54,1,1
65,26,0,1
66,21,1,1
67,8,1,1
68,21,1,1
69,5,1,1
70,0,1,1
71,9,0,1
72,4,1,1
73,7,0,1
74,29,1,1
75,44,0,1
76,23,0,1
77,18,1,1
78,24,1,1
79,20,1,1
80,45,0,1
81,32,1,1
82,0,1,1
83,51,0,1
84,16,1,1
85,25,1,1
86,0,1,1
87,23,0,1
88,49,1,1
89,48,1,1
90,27,1,1
91,9,0,1
92,10,1,1
93,6,0,1
94,21,1,1
95,2,1,1
96,37,1,1
97,48,1,1
98,23,0,1
99,33,0,1
100,12,1,1
101,6,0,1
102,3,1,1
103,11,0,1
104,31,1,1
105,21,1,1
106,17,1,1
107,33,0,1
108,15,1,1
109,42,0,1
110,17,1,1
111,2,1,1
112,25,1,1
113,1,1,1
114,8,1,1
115,18,1,1
116,13,0,1
117,12,1,1
118,39,1,1
119,3,1,1
120,28,1,1
121,23,0,1
122,0,1,1
123,13,0,1
124,0,1,1
125,16,1,1
126,9,0,1
127,7,0,1
128,6,0,1
129,14,1,1
130,14,1,1
131,0,1,1
132,43,0,1
133,1,1,1
134,24,1,1
135,43,0,1
136,1,1,1
137,55,1,1
138,7,0,1
139,20,1,1
140,44,0,1
141,8,1,1
142,7,0,1
143,13,0,1
144,20,1,1
145,48,1,1
146,6,0,1
147,8,1,1
148,2,1,1
149,45,0,1
150,2,1,1
151,20,1,1
152,3,1,1
153,20,1,1
154,45,0,1
155,12,1,1
156,13,0,1
157,8,1,1
158,10,1,1
159,39,1,1
160,39,1,1
161,21,1,1
162,35,0,1
163,47,0,1
164,25,1,1
165,27,1,1
166,23,0,1
167,10,1,1
168,0,1,1
169,43,0,1
170,11,0,1
171,34,1,1
172,5,1,1
173,32,1,1
174,13,0,1
175,1,1,1
176,14,1,1
177,0,1,1
178,33,0,1
179,11,0,1
180,44,0,1
181,18,1,1
182,21,1,1
183,21,1,1
184,9,0,1
185,3,1,1
186,30,1,1
187,48,1,1
188,16,1,1
189,44,0,1
190,4,1,1
191,37,1,1
192,43,0,1
193,27,1,1
194,44,0,1
195,21,1,1
196,22,1,1
197,22,1,1
198,12,1,1
199,29,1,1
200,40,1,1
201,45,0,1
202,21,1,1
203,23,0,1
204,6,0,1
205,21,1,1
206,20,1,1
207,32,1,1
208,7,0,1
209,7,0,1
210,33,0,1
211,9,0,1
212,40,1,1
213,10,1,1
214,14,1,1
215,16,1,1
216,0,1,1
217,25,1,1
218,11,0,1
219,50,1,1
220,23,0,1
221,0,1,1
222,32,1,1
223,13,0,1
224,28,1,1
225,9,0,1
226,61,1,1
227,43,0,1
228,24,1,1
229,2,1,1
230,9,0,1
231,7,0,1
232,43,0,1
233,25,1,1
234,24,1,1
235,27,1,1
236,0,1,1
237,25,1,1
238,14,1,1
239,11,0,1
240,15,1,1
241,43,0,1
242,15,1,1
243,0,1,1
244,25,1,1
245,48,1,1
246,29,1,1
247,22,1,1
248,11,0,1
249,0,1,1
250,9,0,1
251,37,1,1
252,44,0,1
253,4,1,1
254,11,0,1
255,16,1,1
256,23,0,1
257,14,1,1
258,3,1,1
259,14,1,1
260,32,1,1
261,29,1,1
262,3,1,1
263,10,1,1
264,10,1,1
265,21,1,1
266,15,1,1
267,2,1,1
268,21,1,1
269,15,1,1
270,23,0,1
271,14,1,1
272,18,1,1
273,20,1,1
274,44,0,1
275,12,1,1
276,4,1,1
277,28,1,1
278,18,1,1
279,28,1,1
280,49,1,1
281,2,1,1
282,23,0,1
283,28,1,1
284,44,0,1
285,21,1,1
286,32,1,1
287,14,1,1
288,21,1,1
289,24,1,1
290,31,1,1
291,32,1,1
292,13,0,1
293,9,0,1
294,9,0,1
295,13,0,1
296,7,0,1
297,12,1,1
298,24,1,1
299,28,1,1
300,10,1,1
301,7,0,1
302,28,1,1
303,48,1,1
304,6,0,1
305,6,0,1
306,13,0,1
307,39,1,1
308,2,1,1
309,7,0,1
310,32,1,1
311,8,1,1
