vote,public_key_id,honest,valid
0,0,1,1
1,7,1,1
2,6,1,1
3,10,1,1
4,3,1,1
5,13,1,1
6,0,1,1
7,7,1,0
8,4,0,1
9,3,1,1
10,2,0,1
11,10,1,1
12,9,1,1
13,14,1,1
14,10,1,1
15,9,1,1
16,0,1,1
17,1,0,1
18,6,1,1
19,4,0,1
20,1,0,1
21,9,1,1
22,8,0,1
23,0,1,1
24,16,1,1
25,16,1,1
26,10,1,1
27,8,0,1
28,6,1,1
29,2,0,1
30,15,0,1
31,0,1,1
32,0,1,1
33,6,1,1
34,0,1,1
35,11,1,1
36,0,1,1
37,4,0,1
38,18,1,1
39,13,1,1
40,8,0,1
41,14,1,1
42,10,1,1
43,0,1,1
44,4,0,1
45,1,0,1
46,3,1,1
47,1,0,1
48,0,1,1
49,17,1,1
50,9,1,1
51,9,1,1
52,3,1,1
53,6,1,1
54,2,0,1
55,2,0,1
56,2,0,1
57,4,0,1
58,6,1,1
59,0,1,1
60,7,1,1
61,2,0,1
62,6,1,1
63,1,0,1
64,8,0,1
65,4,0,1
66,2,0,1
67,13,1,1
68,15,0,1
69,6,1,1
70,10,1,1
71,19,0,1
72,9,1,1
73,9,1,1
74,6,1,1
75,9,1,1
76,9,1,1
77,4,0,1
78,4,0,1
79,8,0,1
80,14,1,1
81,8,0,1
82,14,1,1
83,7,1,1
84,3,1,1
85,3,1,1
86,2,0,1
87,2,0,1
88,6,1,1
89,10,1,1
90,8,0,1
91,3,1,1
92,3,1,1
93,2,0,1
94,9,1,1
95,13,1,1
96,7,1,1
97,0,1,1
98,13,1,1
99,3,1,1
100,4,0,1
101,6,1,1
102,16,1,1
103,4,0,1
104,6,1,1
105,1,0,1
106,6,1,1
107,12,1,1
108,6,1,1
109,16,1,1
110,12,1,1
111,6,1,1
112,8,0,1
113,0,1,1
114,6,1,1
115,7,1,1
116,9,1,1
117,0,1,1
118,6,1,1
119,4,0,1
120,3,1,1
121,4,0,1
122,6,1,1
123,0,1,1
124,2,0,1
125,13,1,1
126,9,1,1
127,8,0,1
128,6,1,1
129,7,1,1
130,9,1,1
131,3,1,1
132,4,0,1
133,1,0,1
134,2,0,1
135,1,0,1
136,6,1,1
137,9,1,1
138,6,1,1
139,4,0,1
140,16,1,1
141,10,1,1
142,0,1,1
143,13,1,1
144,9,1,1
145,5,1,1
146,15,0,1
147,6,1,1
148,0,1,1
149,0,1,1
150,6,1,1
151,9,1,1
152,9,1,1
153,0,1,1
154,6,1,1
155,3,1,1
156,0,1,1
157,2,0,1
158,0,1,1
159,9,1,1
160,0,1,1
161,3,1,1
162,9,1,1
163,0,1,1
164,9,1,1
165,1,0,1
166,1,0,1
167,9,1,1
168,4,0,1
169,18,1,1
170,5,1,1
171,3,1,1
172,0,1,1
173,4,0,1
174,1,0,1
175,9,1,1
176,2,0,1
177,2,0,1
178,16,1,1
179,9,1,1
180,2,0,1
181,6,1,1
182,0,1,1
183,2,0,1
184,9,1,1
185,4,0,1
186,13,1,1
187,6,1,1
