vote,public_key_id,honest,valid
0,11,0,1
1,6,1,1
2,1,1,1
3,3,0,1
4,12,1,1
5,32,1,1
6,32,1,1
7,5,1,1
8,3,0,1
9,32,1,1
10,32,1,1
11,12,1,1
12,24,1,1
13,32,1,1
14,5,1,1
15,3,0,1
16,11,0,1
17,3,0,1
18,11,0,1
19,3,0,1
20,24,1,1
21,0,0,1
22,7,0,1
23,16,1,1
24,3,0,1
25,32,1,1
26,32,1,1
27,6,1,1
28,11,0,1
29,24,1,1
30,32,1,1
31,1,1,1
32,24,1,1
33,17,0,1
34,32,1,1
35,1,1,1
36,1,1,1
37,22,0,1
38,8,0,1
39,32,1,1
40,7,0,1
41,24,1,1
42,1,1,1
43,7,0,1
44,11,0,1
45,1,1,1
46,1,1,1
47,9,1,1
48,5,1,1
49,1,1,1
50,1,1,1
51,1,1,1
52,1,1,1
53,1,1,1
54,5,1,1
55,1,1,1
56,1,1,1
57,1,1,1
58,3,0,1
59,10,0,1
60,19,0,1
61,32,1,1
62,3,0,1
63,1,1,1
64,11,0,1
65,1,1,1
66,17,0,1
67,1,1,1
68,1,1,1
69,32,1,1
70,9,1,1
71,1,1,1
72,32,1,1
73,1,1,1
74,7,0,1
75,1,1,1
76,11,0,1
77,26,0,1
78,7,0,1
79,32,1,1
80,6,1,1
81,3,0,1
82,1,1,1
83,1,1,1
84,24,1,1
85,24,1,1
86,32,1,1
87,32,1,1
88,0,0,1
89,16,1,1
90,32,1,1
91,24,1,1
92,1,1,1
93,32,1,1
94,1,1,0
95,1,1,1
96,9,1,1
97,3,0,1
98,32,1,1
99,1,1,1
100,32,1,1
101,11,0,1
102,19,0,1
103,1,1,1
104,1,1,1
105,7,0,1
106,1,1,1
107,32,1,1
108,3,0,1
109,32,1,1
110,1,1,1
111,1,1,1
112,1,1,1
113,1,1,1
114,1,1,1
115,12,1,1
116,13,0,1
117,1,1,1
118,11,0,1
119,32,1,1
120,1,1,1
121,6,1,1
122,24,1,1
123,5,1,1
124,32,1,1
125,5,1,1
126,20,1,1
127,24,1,1
128,32,1,1
129,15,0,1
130,11,0,1
131,3,0,1
132,19,0,1
133,32,1,1
134,0,0,1
135,20,1,1
136,1,1,1
137,3,0,1
138,3,0,1
139,17,0,1
140,32,1,1
141,32,1,1
142,1,1,1
143,25,0,1
144,1,1,1
145,3,0,1
146,32,1,1
147,32,1,1
148,3,0,1
149,27,0,1
150,16,1,1
151,1,1,1
152,1,1,1
153,4,0,1
154,1,1,1
155,1,1,1
156,24,1,1
157,1,1,1
158,7,0,1
159,3,0,1
160,3,0,1
161,3,0,1
162,32,1,1
163,1,1,0
164,1,1,1
165,32,1,1
166,7,0,1
167,11,0,1
168,32,1,1
169,17,0,1
170,3,0,1
171,1,1,1
172,32,1,1
173,6,1,1
174,3,0,1
175,32,1,1
176,7,0,1
177,1,1,1
178,32,1,1
179,7,0,1
180,1,1,1
181,24,1,1
182,1,1,1
183,13,0,1
184,11,0,1
185,32,1,1
186,1,1,1
187,12,1,1
188,24,1,1
189,1,1,1
190,24,1,1
191,1,1,1
192,32,1,1
193,6,1,1
194,11,0,1
195,32,1,1
196,33,0,1
197,32,1,1
198,1,1,1
199,5,1,1
200,1,1,1
201,3,0,1
202,32,1,1
203,32,1,1
204,15,0,1
205,32,1,1
206,1,1,1
207,6,1,1
208,24,1,1
209,32,1,1
210,0,0,1
211,5,1,1
212,9,1,1
