vote,public_key_id,honest,valid
0,21,1,1
1,55,1,1
2,3,1,1
3,11,0,1
4,25,0,1
5,25,0,1
6,24,0,1
7,40,0,1
8,13,0,1
9,23,1,1
10,13,0,1
11,0,1,1
12,18,1,1
13,10,0,1
14,14,0,1
15,7,1,1
16,21,1,1
17,11,0,1
18,33,1,1
19,0,1,1
20,47,0,1
21,18,1,1
22,4,1,1
23,6,1,1
24,36,0,1
25,23,1,1
26,59,1,1
27,25,0,1
28,23,1,1
29,40,0,1
30,44,0,1
31,3,1,1
32,21,1,1
33,27,0,1
34,42,1,1
35,10,0,1
36,23,1,1
37,10,0,1
38,7,1,1
39,23,1,1
40,10,0,1
41,12,1,1
42,23,1,1
43,21,1,1
44,31,1,1
45,11,0,1
46,23,1,1
47,14,0,1
48,21,1,1
49,58,1,1
50,23,1,1
51,21,1,1
52,20,0,1
53,12,1,1
54,25,0,1
55,6,1,1
56,12,1,1
57,14,0,1
58,4,1,1
59,44,0,1
60,13,0,1
61,5,1,1
62,11,0,1
63,0,1,1
64,20,0,1
65,21,1,1
66,20,0,1
67,27,0,1
68,5,1,1
69,21,1,1
70,19,0,1
71,11,0,1
72,18,1,1
73,11,0,1
74,4,1,1
75,7,1,1
76,23,1,1
77,25,0,1
78,21,1,1
79,21,1,1
80,18,1,1
81,10,0,1
82,10,0,1
83,14,0,1
84,21,1,1
85,27,0,1
86,24,0,1
87,23,1,1
88,7,1,1
89,32,1,1
90,27,0,1
91,24,0,1
92,1,0,1
93,14,0,1
94,14,0,1
95,21,1,1
96,5,1,1
97,8,1,1
98,32,1,1
99,0,1,1
100,8,1,1
101,21,1,1
102,25,0,1
103,42,1,1
104,8,1,1
105,12,1,1
106,13,0,1
107,27,0,1
108,7,1,1
109,42,1,1
110,8,1,1
111,0,1,1
112,40,0,1
113,23,1,1
114,23,1,1
115,7,1,1
116,41,1,1
117,21,1,1
118,25,0,1
119,3,1,1
120,10,0,1
121,47,0,1
122,20,0,1
123,0,1,1
124,11,0,1
125,26,0,1
126,44,0,1
127,11,0,1
128,55,1,1
129,47,0,1
130,2,1,1
131,13,0,1
132,0,1,1
133,42,1,1
134,55,1,1
135,40,0,1
136,32,1,1
137,4,1,1
138,32,1,1
139,12,1,1
140,27,0,1
141,7,1,1
142,14,0,1
143,4,1,1
144,3,1,1
145,13,0,1
146,3,1,1
147,4,1,1
148,8,1,1
149,4,1,1
150,25,0,1
151,32,1,1
152,1,0,1
153,2,1,1
154,27,0,1
155,23,1,1
156,45,1,1
157,22,0,1
158,22,0,1
159,12,1,1
160,33,1,1
161,23,1,1
162,14,0,1
163,21,1,1
164,6,1,1
165,39,1,1
166,14,0,1
167,7,1,1
168,12,1,1
169,2,1,1
170,4,1,1
171,8,1,1
172,39,1,1
173,0,1,1
174,20,0,1
175,23,1,1
176,0,1,1
177,12,1,1
178,5,1,1
179,1,0,1
180,21,1,1
181,13,0,1
182,44,0,1
183,42,1,1
184,57,0,1
185,53,1,1
186,0,1,1
187,3,1,1
188,20,0,1
189,24,0,1
190,51,1,1
191,7,1,1
192,21,1,1
193,2,1,1
194,31,1,1
195,27,0,1
196,1,0,1
197,33,1,1
198,10,0,1
199,18,1,1
200,13,0,1
201,1,0,1
202,21,1,1
203,18,1,1
204,21,1,1
205,45,1,1
206,49,1,1
207,6,1,1
208,21,1,1
209,42,1,1
210,22,0,1
211,1,0,1
212,21,1,1
213,21,1,1
214,8,1,1
215,45,1,1
216,23,1,1
217,21,1,1
218,0,1,1
219,22,0,1
220,19,0,1
221,7,1,1
222,31,1,1
223,0,1,1
224,33,1,1
225,23,1,1
226,24,0,1
227,10,0,1
228,8,1,1
229,22,0,1
230,21,1,1
231,24,0,1
232,7,1,1
233,54,1,1
234,23,1,1
235,45,1,1
236,6,1,1
237,32,1,1
238,3,1,1
239,33,1,1
240,10,0,1
241,23,1,1
242,5,1,1
243,18,1,1
244,23,1,1
245,21,1,1
246,11,0,1
247,39,1,1
248,7,1,1
249,6,1,1
250,1,0,1
251,21,1,1
252,4,1,1
253,10,0,1
254,7,1,1
255,23,1,1
256,45,1,1
257,14,0,1
258,33,1,1
259,1,0,1
260,21,1,1
261,30,0,1
262,6,1,1
263,13,0,1
264,32,1,1
265,21,1,1
266,24,0,1
267,22,0,1
268,26,0,1
269,24,0,1
270,33,1,1
271,26,0,1
272,1,0,1
273,21,1,1
274,12,1,1
275,25,0,1
276,41,1,1
277,8,1,1
278,2,1,1
279,21,1,1
280,52,0,1
281,7,1,1
282,5,1,1
283,0,1,1
284,45,1,1
285,7,1,1
286,20,0,1
287,49,1,1
288,0,1,1
289,32,1,1
290,18,1,1
291,21,1,1
292,24,0,1
293,40,0,1
294,7,1,1
295,0,1,1
296,2,1,1
297,22,0,1
298,24,0,1
299,1,0,1
300,44,0,1
301,42,1,1
302,4,1,1
303,14,0,1
304,20,0,1
305,10,0,1
306,1,0,1
307,39,1,1
308,25,0,1
309,10,0,1
310,21,1,1
311,27,0,1
312,13,0,1
313,33,1,1
314,63,0,1
315,1,0,1
316,27,0,1
317,2,1,1
318,18,1,1
319,10,0,1
320,45,1,1
321,42,1,1
322,5,1,1
323,4,1,1
324,23,1,1
325,1,0,1
326,40,0,1
327,13,0,1
328,25,0,1
329,32,1,1
330,39,1,1
331,44,0,1
332,40,0,1
333,27,0,1
334,4,1,1
335,23,1,1
336,1,0,1
337,33,1,1
338,23,1,1
339,42,1,1
340,41,1,1
341,23,1,1
342,42,1,1
343,7,1,1
344,44,0,1
345,18,1,1
346,8,1,1
347,4,1,1
348,14,0,1
349,4,1,1
350,5,1,1
351,10,0,1
352,10,0,1
353,1,0,1
354,39,1,1
355,27,0,1
356,54,1,1
357,44,0,1
358,13,0,1
359,32,1,1
360,26,0,1
361,0,1,1
362,7,1,1
363,2,1,1
364,7,1,1
365,30,0,1
366,3,1,1
367,1,0,1
368,14,0,1
369,21,1,1
370,0,1,1
371,13,0,1
372,5,1,1
373,18,1,1
374,14,0,1
375,0,1,1
376,21,1,1
377,11,0,1
378,27,0,1
379,4,1,1
380,21,1,1
381,32,1,1
382,20,0,1
383,1,0,1
384,12,1,1
385,31,1,1
386,5,1,1
387,10,0,1
388,19,0,1
389,39,1,1
390,11,0,1
391,13,0,1
392,49,1,1
393,41,1,1
394,5,1,1
395,24,0,1
396,11,0,1
397,6,1,1
398,10,0,1
399,10,0,1
400,42,1,1
401,7,1,1
402,20,0,1
403,4,1,1
404,23,1,1
405,49,1,1
406,2,1,1
407,2,1,1
408,7,1,1
409,3,1,1
410,22,0,1
411,54,1,1
412,2,1,1
413,0,1,1
414,11,0,1
415,0,1,1
416,10,0,1
417,0,1,1
418,45,1,1
419,24,0,1
420,18,1,1
421,1,0,1
422,4,1,1
423,18,1,1
424,18,1,1
425,13,0,1
426,13,0,1
427,40,0,1
428,5,1,1
429,21,1,1
430,49,1,1
431,0,1,1
432,19,0,1
433,6,1,1
434,2,1,1
435,3,1,1
436,7,1,1
437,13,0,1
438,40,0,1
439,6,1,1
440,6,1,1
441,12,1,1
442,6,1,1
443,42,1,1
444,22,0,1
445,45,1,1
446,45,1,1
447,13,0,1
448,0,1,1
449,22,0,1
450,10,0,1
451,6,1,1
452,40,0,1
453,19,0,1
454,30,0,1
455,1,0,1
456,6,1,1
457,7,1,1
458,7,1,1
459,14,0,1
460,40,0,1
461,32,1,1
462,8,1,1
463,27,0,1
464,21,1,1
465,32,1,1
466,49,1,1
467,39,1,1
468,4,1,1
469,10,0,1
470,21,1,1
471,14,0,1
472,23,1,1
473,21,1,1
474,7,1,1
