vote,public_key_id,honest,valid
0,48,1,1
1,40,1,1
2,43,0,1
3,25,1,1
4,37,0,1
5,11,0,1
6,8,1,1
7,32,0,1
8,2,1,1
9,44,1,1
10,17,1,1
11,11,0,1
12,0,1,1
13,12,1,1
14,4,1,1
15,16,1,1
16,12,1,1
17,9,0,1
18,16,1,1
19,54,0,1
20,59,1,1
21,7,0,1
22,4,1,1
23,20,1,1
24,18,0,1
25,37,0,1
26,37,0,1
27,18,0,1
28,27,1,1
29,11,0,1
30,9,0,1
31,48,1,1
32,4,1,1
33,28,0,1
34,29,1,1
35,7,0,1
36,10,1,1
37,48,1,1
38,12,1,1
39,27,1,1
40,0,1,1
41,7,0,1
42,37,0,1
43,10,1,1
44,5,1,1
45,15,1,1
46,32,0,1
47,7,0,1
48,37,0,1
49,12,1,1
50,40,1,1
51,8,1,1
52,10,1,1
53,24,0,1
54,7,0,1
55,45,0,1
56,7,0,1
57,7,0,1
58,7,0,1
59,43,0,1
60,33,1,1
61,11,0,1
62,33,1,1
63,27,1,1
64,29,1,1
65,43,0,1
66,7,0,1
67,13,1,1
68,7,0,1
69,2,1,1
70,0,1,1
71,22,0,1
72,12,1,1
73,10,1,1
74,13,1,1
75,14,1,1
76,24,0,1
77,27,1,1
78,29,1,1
79,37,0,1
80,7,0,1
81,14,1,1
82,9,0,1
83,40,1,1
84,45,0,1
85,62,1,1
86,20,1,1
87,43,0,1
88,18,0,1
89,8,1,1
90,14,1,1
91,18,0,1
92,45,0,1
93,12,1,1
94,22,0,1
95,18,0,1
96,40,1,1
97,32,0,1
98,24,0,1
99,17,1,1
100,4,1,1
101,43,0,1
102,13,1,1
103,44,1,1
104,8,1,1
105,18,0,1
106,62,1,1
107,37,0,1
108,4,1,1
109,0,1,1
110,16,1,1
111,37,0,1
112,12,1,1
113,43,0,1
114,14,1,1
115,15,1,1
116,11,0,1
117,13,1,1
118,20,1,1
119,48,1,1
120,32,0,1
121,5,1,1
122,8,1,1
123,20,1,1
124,36,0,1
125,4,1,1
126,29,1,1
127,43,0,1
128,5,1,1
129,16,1,1
130,17,1,1
131,5,1,1
132,25,1,1
133,45,0,1
134,34,0,1
135,29,1,1
136,14,1,1
137,9,0,1
138,13,1,1
139,2,1,1
140,49,0,1
141,18,0,1
142,11,0,1
