vote,public_key_id,honest,valid
0,7,1,1
1,3,1,1
2,48,0,1
3,14,0,1
4,29,1,1
5,14,0,1
6,21,1,1
7,24,1,1
8,48,0,1
9,21,1,1
10,16,1,1
11,59,0,1
12,21,1,1
13,18,1,1
14,55,1,1
15,17,0,1
16,20,0,1
17,29,1,1
18,0,0,1
19,20,0,1
20,43,1,1
21,28,0,1
22,36,0,1
23,14,0,1
24,21,1,1
25,7,1,1
26,25,1,1
27,24,1,1
28,7,1,1
29,5,1,1
30,10,1,1
31,33,0,1
32,27,0,1
33,42,0,1
34,16,1,1
35,6,1,1
36,3,1,1
37,1,1,1
38,27,0,1
39,21,1,1
40,21,1,1
41,39,1,1
42,15,1,1
43,24,1,1
44,24,1,1
45,31,0,1
46,28,0,1
47,12,1,1
48,32,0,1
49,21,1,1
50,17,0,1
51,20,0,1
52,7,1,1
53,1,1,1
54,16,1,1
55,28,0,1
56,5,1,1
57,43,1,1
58,40,1,1
59,10,1,1
60,17,0,1
61,33,0,1
62,48,0,1
63,20,0,1
64,27,0,1
65,21,1,1
66,0,0,1
67,39,1,1
68,37,1,1
69,21,1,1
70,21,1,1
71,55,1,1
72,0,0,1
73,29,1,1
74,48,0,1
75,21,1,1
76,22,0,1
77,10,1,1
78,40,1,1
79,40,1,1
80,37,1,1
81,14,0,1
82,0,0,1
83,44,1,1
84,10,1,1
85,48,0,1
86,12,1,1
87,22,0,1
88,18,1,1
89,54,0,1
90,5,1,1
91,21,1,1
92,17,0,1
93,37,1,1
94,14,0,1
95,10,1,1
96,24,1,1
97,44,1,1
98,17,0,1
99,34,1,1
100,12,1,1
101,16,1,1
102,48,0,1
103,32,0,1
104,25,1,1
105,7,1,1
106,15,1,1
107,21,1,1
108,6,1,1
109,27,0,1
110,14,0,1
111,26,0,1
112,27,0,1
113,7,1,1
114,14,0,1
115,43,1,1
116,10,1,1
117,12,1,1
118,1,1,1
119,43,1,1
120,1,1,1
121,1,1,1
122,29,1,1
123,1,1,1
124,29,1,1
125,21,1,1
126,0,0,1
127,17,0,1
128,25,1,1
129,18,1,1
130,40,1,1
131,29,1,1
132,40,1,1
133,1,1,1
134,0,0,1
135,3,1,1
136,20,0,1
137,32,0,1
138,6,1,1
139,40,1,1
140,7,1,1
141,25,1,1
142,14,0,1
143,33,0,1
144,0,0,1
145,47,1,1
146,5,1,1
147,32,0,1
148,27,0,1
149,12,1,1
150,37,1,1
151,12,1,1
152,21,1,1
153,33,0,1
154,7,1,1
155,12,1,1
156,3,1,1
157,12,1,1
158,27,0,1
159,1,1,1
160,54,0,1
161,3,1,1
162,14,0,1
163,55,1,1
164,0,0,1
165,37,1,1
166,24,1,1
167,18,1,1
168,33,0,1
169,16,1,1
170,21,1,1
171,1,1,1
172,1,1,1
173,19,0,1
174,15,1,1
175,32,0,1
176,32,0,1
177,32,0,1
178,21,1,1
179,44,1,1
180,28,0,1
181,28,0,1
182,15,1,1
183,28,0,1
184,21,1,1
185,44,1,1
186,32,0,1
187,22,0,1
188,29,1,1
189,60,0,1
190,0,0,1
191,48,0,1
192,22,0,1
193,21,1,1
194,44,1,1
195,41,0,1
196,21,1,1
197,28,0,1
198,6,1,1
199,19,0,1
200,34,1,1
201,33,0,1
202,0,0,1
203,21,1,1
204,0,0,1
205,41,0,1
206,14,0,1
207,40,1,1
208,0,0,1
209,21,1,1
210,7,1,1
211,15,1,1
212,6,1,1
213,10,1,1
214,24,1,1
