vote,public_key_id,honest,valid
0,0,1,1
1,6,0,1
2,0,1,1
3,6,0,1
4,1,1,1
5,2,1,1
6,3,0,1
7,13,0,1
8,0,1,1
9,7,1,1
10,0,1,1
11,0,1,1
12,0,1,1
13,3,0,1
14,2,1,1
15,0,1,1
16,1,1,1
17,5,0,1
18,1,1,1
19,1,1,1
20,16,1,1
21,1,1,1
22,13,0,1
23,14,1,1
24,0,1,1
25,7,1,1
26,3,0,1
27,11,0,1
28,6,0,1
29,3,0,1
30,13,0,1
31,13,0,1
32,3,0,1
33,7,1,1
34,2,1,1
35,7,1,1
36,3,0,1
37,2,1,1
38,3,0,1
39,17,0,1
40,12,1,1
41,1,1,1
42,3,0,1
43,16,1,1
44,16,1,1
45,6,0,1
46,0,1,1
47,6,0,1
48,6,0,1
49,16,1,1
50,0,1,1
51,12,1,1
52,8,1,1
53,3,0,1
54,8,1,1
55,1,1,1
56,6,0,1
57,0,1,1
58,0,1,1
59,6,0,1
60,8,1,1
61,7,1,1
62,6,0,1
63,13,0,1
64,6,0,1
65,0,1,1
66,6,0,1
67,0,1,1
68,7,1,1
69,3,0,1
70,0,1,1
71,0,1,1
72,2,1,1
73,0,1,1
74,3,0,1
75,0,1,1
76,6,0,1
77,3,0,1
78,10,1,1
79,2,1,1
80,12,1,1
81,8,1,1
82,8,1,1
83,8,1,1
84,15,0,1
85,0,1,1
86,2,1,1
87,2,1,1
88,14,1,1
89,13,0,1
90,1,1,1
91,6,0,1
92,6,0,1
93,0,1,1
94,0,1,1
95,12,1,1
96,7,1,1
97,6,0,1
98,10,1,1
99,6,0,1
100,8,1,1
101,6,0,1
102,6,0,1
103,6,0,1
104,16,1,1
105,1,1,1
106,6,0,1
107,16,1,1
108,14,1,1
109,17,0,1
110,1,1,1
111,3,0,1
112,0,1,1
113,1,1,1
114,6,0,1
115,0,1,1
116,16,1,1
117,16,1,1
118,1,1,1
119,18,1,1
120,3,0,1
121,2,1,1
122,6,0,1
123,12,1,1
