vote,public_key_id,honest,valid
0,0,1,1
1,6,1,1
2,3,1,1
3,2,1,1
4,4,0,1
5,10,0,1
6,3,1,1
7,0,1,1
8,16,1,1
9,6,1,1
10,14,0,1
11,1,0,1
12,1,0,1
13,0,1,1
14,7,0,1
15,7,0,1
16,0,1,1
17,6,1,1
18,16,1,1
19,0,1,1
20,3,1,1
21,16,1,1
22,3,1,1
23,0,1,1
24,10,0,1
25,4,0,1
26,7,0,1
27,0,1,1
28,6,1,1
29,5,0,1
30,16,1,1
31,0,1,1
32,4,0,1
33,18,0,1
34,2,1,1
35,0,1,1
36,6,1,1
37,6,1,1
38,0,1,1
39,3,1,1
40,6,1,1
41,7,0,1
42,3,1,1
43,6,1,1
44,11,0,1
45,16,1,1
46,1,0,1
47,0,1,1
48,4,0,1
49,2,1,1
50,3,1,1
51,12,0,1
52,0,1,1
53,0,1,1
54,6,1,1
55,0,1,1
56,6,1,1
57,2,1,1
58,7,0,1
59,2,1,1
60,4,0,1
61,6,1,1
62,13,1,1
63,4,0,1
64,0,1,1
65,7,0,1
66,2,1,1
67,2,1,1
68,7,0,1
69,11,0,1
70,1,0,1
71,3,1,1
72,0,1,1
73,1,0,1
74,2,1,1
75,0,1,1
76,0,1,1
77,7,0,1
78,6,1,1
79,10,0,1
80,16,1,1
81,3,1,1
82,2,1,1
83,7,0,1
84,1,0,1
85,6,1,1
86,0,1,1
87,16,1,1
88,0,1,1
89,4,0,1
90,14,0,1
91,10,0,1
92,0,1,1
93,6,1,1
94,12,0,1
95,6,1,1
96,4,0,1
97,3,1,1
98,6,1,1
99,2,1,1
100,16,1,1
101,10,0,1
102,6,1,1
103,1,0,1
104,16,1,1
105,13,1,1
106,6,1,1
107,1,0,1
108,4,0,1
109,4,0,1
110,2,1,1
111,0,1,1
112,6,1,1
113,3,1,1
114,0,1,1
115,6,1,1
116,16,1,1
117,7,0,1
118,4,0,1
119,2,1,1
120,6,1,1
121,12,0,1
122,2,1,1
123,0,1,1
124,5,0,1
125,6,1,1
126,0,1,1
127,6,1,1
128,4,0,1
129,3,1,1
130,0,1,1
131,7,0,1
132,13,1,1
133,4,0,1
134,18,0,1
135,0,1,1
136,4,0,1
137,6,1,1
138,10,0,1
139,14,0,1
140,6,1,1
141,6,1,1
142,0,1,1
143,0,1,1
144,0,1,1
145,4,0,1
146,6,1,1
147,1,0,1
148,0,1,1
149,4,0,1
150,3,1,1
151,7,0,1
152,0,1,1
153,7,0,1
154,0,1,1
155,6,1,1
156,3,1,1
157,10,0,1
158,2,1,1
159,3,1,1
160,6,1,1
161,4,0,1
162,3,1,1
163,6,1,1
164,13,1,1
165,1,0,1
166,3,1,1
167,2,1,1
168,6,1,1
169,6,1,1
170,0,1,1
171,4,0,1
172,14,0,1
173,4,0,1
174,2,1,1
175,13,1,1
176,11,0,1
177,7,0,1
178,14,0,1
179,18,0,1
180,13,1,1
181,7,0,1
182,6,1,1
183,15,0,1
184,6,1,1
185,4,0,1
186,18,0,1
187,6,1,1
188,0,1,1
189,1,0,1
190,6,1,1
191,3,1,1
192,6,1,1
193,16,1,1
194,6,1,1
195,16,1,1
196,3,1,1
197,5,0,1
198,12,0,1
199,6,1,1
200,6,1,1
201,10,0,1
202,0,1,1
203,2,1,1
204,6,1,1
205,7,0,1
206,0,1,1
207,1,0,1
208,6,1,1
209,4,0,1
210,1,0,1
211,6,1,1
212,0,1,1
213,1,0,1
214,16,1,1
215,13,1,1
216,12,0,1
217,3,1,1
218,0,1,1
219,2,1,1
220,6,1,1
221,3,1,1
222,1,0,1
223,3,1,1
224,2,1,1
225,0,1,1
226,13,1,1
227,4,0,1
228,6,1,1
229,16,1,1
230,4,0,1
231,1,0,1
232,1,0,1
233,3,1,1
234,16,1,1
235,3,1,1
236,3,1,1
237,0,1,1
238,6,1,1
239,6,1,1
240,13,1,1
241,0,1,1
242,0,1,1
243,16,1,1
244,0,1,1
245,3,1,1
246,6,1,1
247,12,0,1
248,10,0,1
249,1,0,1
250,0,1,1
251,3,1,1
252,2,1,1
253,2,1,1
254,6,1,1
255,7,0,1
256,13,1,1
257,6,1,1
258,2,1,1
259,10,0,1
260,6,1,1
261,3,1,1
262,0,1,1
263,2,1,1
264,7,0,1
265,0,1,1
266,7,0,1
267,4,0,1
268,0,1,1
269,6,1,1
270,13,1,1
271,3,1,1
272,3,1,1
273,7,0,1
274,14,0,1
275,7,0,1
276,4,0,1
277,6,1,1
278,7,0,1
279,16,1,1
280,16,1,1
281,1,0,1
282,6,1,1
283,3,1,1
284,0,1,1
285,2,1,1
286,3,1,1
287,10,0,1
288,0,1,1
289,0,1,1
290,1,0,1
291,0,1,1
292,6,1,1
293,1,0,1
294,1,0,1
295,4,0,1
296,4,0,1
297,4,0,1
298,4,0,1
299,0,1,1
300,6,1,1
301,1,0,1
302,5,0,1
303,0,1,1
304,3,1,1
305,6,1,1
306,16,1,1
307,1,0,1
308,1,0,1
309,4,0,1
310,4,0,1
311,3,1,1
312,4,0,1
313,6,1,1
314,1,0,1
315,7,0,1
316,12,0,1
317,4,0,1
318,0,1,1
319,0,1,1
320,4,0,1
321,7,0,1
322,12,0,1
323,2,1,1
324,4,0,1
325,0,1,1
326,13,1,1
327,3,1,1
328,13,1,1
329,3,1,1
330,7,0,1
331,3,1,1
332,4,0,1
333,7,0,1
334,6,1,1
335,5,0,1
336,13,1,1
337,5,0,1
338,6,1,1
339,12,0,1
340,0,1,1
341,7,0,1
342,7,0,1
343,2,1,1
344,1,0,1
345,2,1,1
346,3,1,1
347,10,0,1
348,0,1,1
349,10,0,1
350,3,1,1
351,7,0,1
352,0,1,1
353,3,1,1
354,14,0,1
355,2,1,1
356,1,0,1
357,16,1,1
358,3,1,1
359,4,0,1
360,0,1,1
361,6,1,1
362,7,0,1
363,15,0,1
364,7,0,1
365,3,1,1
366,0,1,1
367,6,1,1
368,6,1,1
369,6,1,1
370,1,0,1
371,3,1,1
372,4,0,1
373,4,0,1
374,10,0,1
375,6,1,1
376,18,0,1
