vote,public_key_id,honest,valid
0,24,0,1
1,23,1,1
2,9,1,1
3,23,1,1
4,11,1,1
5,13,1,1
6,10,1,1
7,1,1,1
8,23,1,1
9,7,1,1
10,29,1,1
11,55,1,1
12,16,0,1
13,27,1,1
14,21,0,1
15,7,1,1
16,28,1,1
17,0,1,1
18,21,0,1
19,14,1,1
20,7,1,1
21,10,1,1
22,8,1,1
23,24,0,1
24,18,1,1
25,2,1,1
26,43,1,1
27,37,0,1
28,44,1,1
29,22,1,1
30,29,1,1
31,1,1,1
32,1,1,1
33,40,0,1
34,15,1,1
35,21,0,1
36,21,0,1
37,37,0,1
38,45,0,1
39,14,1,1
40,0,1,1
41,33,1,1
42,5,1,1
43,9,1,1
44,3,0,1
45,23,1,1
46,1,1,1
47,9,1,1
48,16,0,1
49,21,0,1
50,11,1,1
51,43,1,1
52,29,1,1
53,32,1,1
54,18,1,1
55,21,0,1
56,9,1,1
57,43,1,1
58,1,1,1
59,28,1,1
60,45,0,1
61,0,1,1
62,20,0,1
63,1,1,1
64,1,1,1
65,37,0,1
66,4,1,1
67,8,1,1
68,32,1,1
69,21,0,1
70,4,1,1
71,6,1,1
72,48,1,1
73,19,1,1
74,23,1,1
75,3,0,1
76,18,1,1
77,3,0,1
78,4,1,1
79,5,1,1
80,7,1,1
81,3,0,1
82,29,1,1
83,27,1,1
84,3,0,1
85,31,0,1
86,37,0,1
87,33,1,1
88,5,1,1
89,27,1,1
90,27,1,1
91,40,0,1
92,14,1,1
93,61,1,1
94,10,1,1
95,45,0,1
96,8,1,1
97,13,1,1
98,0,1,1
99,12,0,1
100,11,1,1
101,23,1,1
102,42,1,1
103,46,0,1
104,25,1,1
105,10,1,1
106,17,0,1
107,17,0,1
108,2,1,1
109,34,1,1
110,55,1,1
111,1,1,1
112,8,1,1
113,32,1,1
114,37,0,1
115,23,1,1
116,48,1,1
117,29,1,1
118,23,1,1
119,23,1,1
120,13,1,1
121,48,1,1
122,37,0,1
123,0,1,1
124,0,1,1
125,7,1,1
126,42,1,1
127,45,0,1
128,42,1,1
129,0,1,1
130,6,1,1
131,8,1,1
132,12,0,1
133,23,1,1
134,40,0,1
135,21,0,1
136,4,1,1
137,12,0,1
138,4,1,1
139,25,1,1
140,22,1,1
141,25,1,1
142,21,0,1
143,41,1,1
144,24,0,1
145,45,0,1
146,4,1,1
147,21,0,1
148,18,1,1
149,16,0,1
150,17,0,1
151,10,1,1
152,2,1,1
153,3,0,1
154,1,1,1
155,9,1,1
156,7,1,1
157,17,0,1
158,58,1,1
159,20,0,1
160,40,0,1
161,5,1,1
162,12,0,1
163,42,1,1
164,43,1,1
165,20,0,1
166,1,1,1
167,37,0,1
168,13,1,1
169,17,0,1
170,23,1,1
171,37,0,1
172,7,1,1
173,23,1,1
174,32,1,1
175,8,1,1
176,39,1,1
177,3,0,1
178,16,0,1
179,7,1,1
180,0,1,1
181,25,1,1
182,17,0,1
183,42,1,1
184,4,1,1
185,62,1,1
186,48,1,1
187,22,1,1
188,23,1,1
189,15,1,1
190,59,1,1
191,4,1,1
192,37,0,1
193,6,1,1
194,14,1,1
195,55,1,1
196,21,0,1
197,29,1,1
198,10,1,1
199,62,1,1
200,12,0,1
201,20,0,1
202,47,1,1
203,32,1,1
204,38,1,1
205,14,1,1
206,16,0,1
207,39,1,1
208,38,1,1
209,48,1,1
210,13,1,1
211,12,0,1
212,14,1,1
213,21,0,1
214,23,1,1
215,23,1,1
216,44,1,1
217,20,0,1
218,56,1,1
219,0,1,1
220,16,0,1
221,15,1,1
222,3,0,1
223,43,1,1
224,6,1,1
225,17,0,1
226,12,0,1
227,7,1,1
228,18,1,1
229,0,1,1
230,12,0,1
231,23,1,1
232,13,1,1
233,15,1,1
234,29,1,1
235,45,0,1
236,10,1,1
237,44,1,1
238,13,1,1
239,33,1,1
240,23,1,1
241,14,1,1
242,13,1,1
243,27,1,1
244,28,1,1
245,15,1,1
246,51,1,1
247,37,0,1
248,53,1,1
249,45,0,1
250,21,0,1
251,7,1,1
252,11,1,1
253,15,1,1
254,1,1,1
255,26,1,1
256,10,1,1
257,44,1,1
258,18,1,1
259,28,1,1
260,32,1,1
261,2,1,1
262,17,0,1
263,28,1,1
264,37,0,1
265,48,1,1
266,27,1,1
267,24,0,1
268,1,1,1
269,27,1,1
270,6,1,1
271,43,1,1
272,0,1,1
273,9,1,1
274,48,1,1
275,27,1,1
276,21,0,1
277,24,0,1
278,6,1,1
279,39,1,1
280,45,0,1
281,23,1,1
282,26,1,1
283,43,1,1
284,42,1,1
285,9,1,1
286,9,1,1
287,21,0,1
288,49,1,1
289,8,1,1
290,33,1,1
291,60,1,1
292,4,1,1
293,21,0,1
294,8,1,1
295,45,0,1
296,44,1,1
297,0,1,1
298,33,1,1
299,28,1,1
300,27,1,1
301,23,1,1
302,7,1,1
303,27,1,1
304,6,1,1
305,10,1,1
306,24,0,1
307,28,1,1
308,24,0,1
309,21,0,1
310,36,1,1
311,14,1,1
312,34,1,1
313,14,1,1
314,8,1,1
315,12,0,1
316,37,0,1
317,19,1,1
318,29,1,1
319,41,1,1
320,22,1,1
321,10,1,1
322,28,1,1
323,20,0,1
324,7,1,1
325,5,1,1
326,33,1,1
327,33,1,1
328,23,1,1
329,18,1,1
330,28,1,1
331,21,0,1
332,9,1,1
333,3,0,1
334,30,0,1
335,32,1,1
336,22,1,1
337,54,1,1
338,7,1,1
339,24,0,1
340,44,1,1
341,13,1,1
342,34,1,1
343,22,1,1
