vote,public_key_id,honest,valid
0,10,0,1
1,6,1,1
2,4,1,1
3,16,1,1
4,6,1,1
5,4,1,1
6,9,0,1
7,8,1,1
8,2,0,1
9,1,1,1
10,7,1,1
11,6,1,1
12,0,1,1
13,16,1,1
14,1,1,1
15,14,1,1
16,3,1,1
17,14,1,1
18,1,1,1
19,6,1,1
20,0,1,1
21,12,1,1
22,10,0,1
23,6,1,1
24,16,1,1
25,0,1,1
26,4,1,1
27,2,0,1
28,0,1,1
29,10,0,1
30,4,1,1
31,0,1,1
32,9,0,1
33,0,1,1
34,4,1,1
35,1,1,1
36,16,1,1
37,14,1,1
38,1,1,1
39,11,0,1
40,0,1,1
41,8,1,1
42,6,1,1
43,4,1,1
44,6,1,1
45,2,0,1
46,0,1,1
47,8,1,1
48,9,0,1
49,6,1,1
50,1,1,1
51,6,1,1
52,9,0,1
53,3,1,1
54,2,0,1
55,3,1,1
56,2,0,1
57,0,1,1
58,9,0,1
59,6,1,1
60,7,1,1
61,13,0,1
62,0,1,1
63,7,1,1
64,1,1,1
65,6,1,1
66,6,1,1
67,6,1,1
68,3,1,1
69,6,1,1
70,0,1,1
71,7,1,1
72,9,0,1
73,9,0,1
74,9,0,1
75,9,0,1
76,12,1,1
77,3,1,1
78,2,0,1
79,13,0,1
80,8,1,1
81,6,1,1
82,8,1,1
83,3,1,1
84,18,1,1
85,4,1,1
86,0,1,1
87,9,0,1
88,16,1,1
89,16,1,1
90,3,1,1
91,4,1,1
92,3,1,1
93,3,1,1
94,2,0,1
95,6,1,1
96,9,0,1
97,2,0,1
98,0,1,1
99,6,1,1
100,4,1,1
101,13,0,1
102,16,1,1
103,16,1,1
104,3,1,1
105,9,0,1
106,13,0,1
107,5,1,1
108,16,1,1
109,1,1,1
110,2,0,1
111,13,0,1
112,6,1,1
113,13,0,1
114,9,0,1
115,8,1,1
116,4,1,1
117,7,1,1
118,4,1,1
119,9,0,1
120,12,1,1
121,16,1,1
122,7,1,1
123,3,1,1
124,0,1,1
125,0,1,1
126,2,0,1
127,0,1,1
128,0,1,1
129,0,1,1
130,13,0,1
131,2,0,1
132,1,1,1
133,4,1,1
134,3,1,1
135,17,1,1
136,0,1,1
137,6,1,1
138,0,1,1
139,9,0,1
140,0,1,1
141,6,1,1
