vote,public_key_id,honest,valid
0,2,1,1
1,10,0,1
2,21,1,1
3,2,1,1
4,8,1,1
5,9,1,1
6,1,1,1
7,14,0,1
8,13,0,1
9,6,1,1
10,4,0,1
11,14,0,1
12,14,0,1
13,1,1,1
14,2,1,1
15,2,1,1
16,4,0,1
17,1,1,1
18,6,1,1
19,4,0,1
20,6,1,1
21,14,0,1
22,2,1,1
23,20,1,1
24,2,1,1
25,1,1,1
26,25,0,1
27,14,0,1
28,2,1,1
29,19,1,1
30,1,1,1
31,12,0,1
32,8,1,1
33,1,1,1
34,4,0,1
35,10,0,1
36,2,1,1
37,1,1,1
38,2,1,1
39,2,1,1
40,1,1,1
41,8,1,1
42,1,1,1
43,1,1,1
44,2,1,1
45,22,1,1
46,14,0,1
47,1,1,1
48,23,1,1
49,2,1,1
50,2,1,1
51,4,0,1
52,2,1,1
53,0,1,1
54,1,1,1
55,2,1,1
56,25,0,1
57,8,1,1
58,2,1,1
59,32,1,1
60,14,0,1
61,0,1,1
62,2,1,1
63,22,1,1
64,6,1,1
65,2,1,1
66,14,0,1
67,1,1,1
68,10,0,1
69,4,0,1
70,6,1,1
71,2,1,1
72,6,1,1
73,1,1,1
74,25,0,1
75,1,1,1
76,4,0,1
77,9,1,1
78,4,0,1
79,9,1,1
80,14,0,1
81,9,1,1
82,1,1,1
83,10,0,1
84,1,1,1
85,20,1,1
86,1,1,1
87,2,1,1
88,1,1,1
89,4,0,1
90,1,1,1
91,6,1,1
92,27,1,1
93,2,1,1
94,15,0,1
95,2,1,1
96,2,1,1
97,2,1,1
98,1,1,1
99,6,1,1
100,9,1,1
101,3,1,1
102,14,0,1
103,1,1,1
104,2,1,1
105,1,1,1
106,1,1,1
107,1,1,1
108,1,1,1
109,2,1,1
110,14,0,1
111,1,1,1
112,15,0,1
113,2,1,1
114,2,1,1
115,2,1,1
116,13,0,1
117,2,1,1
118,8,1,1
119,4,0,1
120,4,0,1
121,9,1,1
122,6,1,1
123,1,1,1
124,1,1,1
125,7,1,1
126,1,1,1
127,1,1,1
128,1,1,1
129,0,1,1
130,4,0,1
131,1,1,1
132,1,1,1
133,12,0,1
134,4,0,1
135,1,1,1
136,0,1,1
137,14,0,1
138,8,1,1
139,1,1,1
140,8,1,1
141,4,0,1
142,6,1,1
143,19,1,1
144,14,0,1
145,2,1,1
146,18,1,1
147,1,1,1
148,2,1,1
149,1,1,1
150,2,1,1
151,1,1,1
152,9,1,1
153,1,1,1
154,8,1,1
155,4,0,1
156,1,1,1
157,2,1,1
158,1,1,1
159,1,1,1
160,22,1,1
161,1,1,1
162,1,1,1
163,1,1,1
164,1,1,1
165,10,0,1
166,1,1,1
167,6,1,1
168,2,1,1
169,1,1,1
170,16,0,1
171,14,0,1
172,15,0,1
173,9,1,1
174,4,0,1
175,1,1,1
176,14,0,1
177,1,1,1
178,2,1,1
179,6,1,1
180,6,1,1
181,6,1,1
182,6,1,1
183,6,1,1
184,20,1,1
185,1,1,1
186,9,1,1
187,1,1,1
188,10,0,1
189,4,0,1
190,1,1,1
191,2,1,1
192,18,1,1
193,1,1,1
194,4,0,1
195,1,1,1
196,1,1,1
197,1,1,1
198,4,0,1
199,14,0,1
200,1,1,1
201,12,0,1
202,9,1,1
203,8,1,1
204,1,1,1
205,1,1,1
206,2,1,1
207,1,1,1
208,1,1,1
209,1,1,1
210,4,0,1
211,2,1,1
212,1,1,1
213,2,1,1
214,1,1,1
215,2,1,1
216,6,1,1
217,2,1,1
218,0,1,1
219,4,0,1
220,20,1,1
221,10,0,1
222,1,1,1
223,1,1,1
224,2,1,1
225,4,0,1
226,4,0,1
227,4,0,1
228,1,1,1
229,6,1,1
230,6,1,1
231,1,1,1
232,19,1,1
233,9,1,1
234,12,0,1
235,22,1,1
236,12,0,1
237,30,1,1
238,18,1,1
239,9,1,1
240,2,1,1
241,2,1,1
242,2,1,1
243,29,0,1
244,6,1,1
245,19,1,1
246,6,1,1
247,6,1,1
248,2,1,1
249,2,1,1
250,9,1,1
251,1,1,1
252,6,1,1
253,1,1,1
254,2,1,1
255,8,1,1
256,1,1,1
257,8,1,1
258,9,1,1
259,2,1,1
260,19,1,1
261,2,1,1
262,2,1,1
263,4,0,1
264,1,1,1
265,1,1,1
266,20,1,1
267,2,1,1
268,20,1,1
269,7,1,1
270,2,1,1
271,9,1,1
272,0,1,1
273,1,1,1
274,1,1,1
275,1,1,1
276,22,1,1
277,15,0,1
278,8,1,1
279,8,1,1
280,1,1,1
281,9,1,1
282,2,1,1
283,6,1,1
284,3,1,1
285,1,1,1
286,1,1,1
287,4,0,1
288,6,1,1
289,10,0,1
290,29,0,1
291,1,1,1
292,2,1,1
293,6,1,1
294,22,1,1
295,4,0,1
296,7,1,1
297,1,1,1
298,2,1,1
299,4,0,1
300,1,1,1
301,1,1,1
302,1,1,1
303,6,1,1
304,1,1,1
305,14,0,1
306,1,1,1
307,20,1,1
308,23,1,1
309,12,0,1
310,2,1,1
311,3,1,1
312,2,1,1
313,2,1,1
314,10,0,1
315,2,1,1
316,27,1,1
317,2,1,1
318,8,1,1
319,1,1,1
320,1,1,1
321,2,1,1
322,2,1,1
323,27,1,1
324,8,1,1
325,1,1,1
326,1,1,1
327,1,1,1
328,1,1,1
329,1,1,1
330,2,1,1
331,2,1,1
332,4,0,1
333,2,1,1
334,10,0,1
335,8,1,1
336,23,1,1
337,21,1,1
338,1,1,1
339,20,1,1
340,1,1,1
341,28,1,1
342,4,0,1
343,2,1,1
344,10,0,1
345,1,1,1
346,14,0,1
347,23,1,1
348,2,1,1
349,2,1,1
350,1,1,1
351,2,1,1
352,6,1,1
353,4,0,1
354,6,1,1
355,7,1,1
356,2,1,1
357,2,1,1
358,2,1,1
359,15,0,1
360,4,0,1
361,2,1,1
362,10,0,1
363,4,0,1
364,10,0,1
365,2,1,1
366,1,1,1
367,7,1,1
368,20,1,1
369,10,0,1
370,30,1,1
371,1,1,1
372,1,1,1
373,6,1,1
374,2,1,1
375,1,1,1
376,2,1,1
377,2,1,1
378,1,1,1
379,14,0,1
380,11,1,1
381,4,0,1
382,22,1,1
383,2,1,1
384,1,1,1
385,1,1,1
386,8,1,1
