vote,public_key_id,honest,valid
0,32,1,1
1,0,1,1
2,23,1,1
3,21,1,1
4,25,1,1
5,24,0,1
6,1,1,1
7,18,0,1
8,0,1,1
9,21,1,1
10,5,1,1
11,39,1,1
12,17,1,1
13,48,1,1
14,6,0,1
15,22,1,1
16,6,0,1
17,22,1,1
18,23,1,1
19,12,1,1
20,32,1,1
21,29,1,1
22,18,0,1
23,14,1,1
24,10,1,1
25,43,1,1
26,23,1,1
27,9,1,1
28,14,1,1
29,4,1,1
30,55,1,1
31,10,1,1
32,7,0,1
33,8,1,1
34,33,0,1
35,62,1,1
36,8,1,1
37,21,1,1
38,23,1,1
39,39,1,1
40,20,1,1
41,48,1,1
42,62,1,1
43,16,1,1
44,29,1,1
45,11,0,1
46,23,1,1
47,21,1,1
48,18,0,1
49,0,1,1
50,12,1,1
51,42,1,1
52,7,0,1
53,8,1,1
54,9,1,1
55,7,0,1
56,37,1,1
57,12,1,1
58,28,1,1
59,21,1,1
60,5,1,1
61,18,0,1
62,21,1,1
63,7,0,1
64,40,1,1
65,37,1,1
66,0,1,1
67,23,1,1
68,40,1,1
69,40,1,1
70,1,1,1
71,33,0,1
72,37,1,1
73,40,1,1
74,59,1,1
75,29,1,1
76,6,0,1
77,11,0,1
78,27,0,1
79,6,0,1
80,61,1,1
81,0,1,1
82,23,1,1
83,0,1,1
84,6,0,1
85,47,1,1
86,18,0,1
87,16,1,1
88,13,1,1
89,21,1,1
90,11,0,1
91,21,1,1
92,23,1,1
93,55,1,1
94,23,1,1
95,0,1,1
96,7,0,1
97,12,1,1
98,27,0,1
99,1,1,1
100,22,1,1
101,10,1,1
102,37,1,1
103,17,1,1
104,18,0,1
105,21,1,1
106,25,1,1
107,28,1,1
108,2,1,1
109,33,0,1
110,16,1,1
111,7,0,1
112,11,0,1
113,1,1,1
114,31,1,1
115,12,1,1
116,10,1,1
117,8,1,1
118,45,1,1
119,14,1,1
120,42,1,1
121,48,1,1
122,11,0,1
123,27,0,1
124,33,0,1
125,15,0,1
126,21,1,1
127,0,1,1
128,10,1,1
129,48,1,1
130,11,0,1
131,7,0,1
132,43,1,1
133,1,1,1
134,14,1,1
135,4,1,1
136,6,0,1
137,29,1,1
138,33,0,1
139,9,1,1
140,43,1,1
141,8,1,1
142,36,0,1
143,7,0,1
144,24,0,1
145,44,1,1
146,9,1,1
147,7,0,1
148,29,1,1
149,46,0,1
150,5,1,1
151,19,0,1
152,15,0,1
153,27,0,1
154,25,1,1
155,55,1,1
156,7,0,1
157,21,1,1
158,13,1,1
159,4,1,1
160,21,1,1
161,21,1,1
162,23,1,1
163,10,1,1
164,2,1,1
165,12,1,1
166,32,1,1
167,7,0,1
168,40,1,1
169,15,0,1
170,41,1,1
171,37,1,1
172,13,1,1
173,1,1,1
174,42,1,1
175,24,0,1
176,3,1,1
177,23,1,1
178,14,1,1
179,56,1,1
180,8,1,1
181,6,0,1
182,27,0,1
183,21,1,1
184,11,0,1
185,1,1,1
186,3,1,1
187,3,1,1
188,4,1,1
189,3,1,1
190,27,0,1
191,6,0,1
192,23,1,1
193,21,1,1
194,44,1,1
195,5,1,1
196,1,1,1
197,12,1,1
198,17,1,1
199,29,1,1
200,7,0,1
201,23,1,1
202,0,1,1
203,38,1,1
204,14,1,1
205,4,1,1
206,25,1,1
207,4,1,1
208,34,1,1
209,20,1,1
210,32,1,1
211,42,1,1
212,58,1,1
213,15,0,1
214,9,1,1
215,23,1,1
216,6,0,1
217,21,1,1
218,4,1,1
219,43,1,1
220,20,1,1
221,1,1,1
222,27,0,1
223,4,1,1
224,42,1,1
225,20,1,1
226,48,1,1
227,40,1,1
228,13,1,1
229,1,1,1
230,16,1,1
231,32,1,1
232,3,1,1
233,12,1,1
234,18,0,1
235,15,0,1
236,11,0,1
237,38,1,1
238,23,1,1
239,13,1,1
240,7,0,1
241,2,1,1
242,6,0,1
243,16,1,1
244,23,1,1
245,21,1,1
246,21,1,1
247,45,1,1
248,14,1,1
249,8,1,1
250,34,1,1
251,20,1,1
252,16,1,1
253,24,0,1
254,13,1,1
255,10,1,1
256,45,1,1
257,20,1,1
258,28,1,1
259,60,1,1
260,28,1,1
261,1,1,1
262,8,1,1
263,3,1,1
264,14,1,1
265,14,1,1
266,48,1,1
267,24,0,1
268,6,0,1
269,21,1,1
270,22,1,1
271,16,1,1
272,21,1,1
273,32,1,1
274,43,1,1
275,24,0,1
276,23,1,1
277,15,0,1
278,45,1,1
279,28,1,1
280,32,1,1
281,48,1,1
282,34,1,1
283,39,1,1
284,15,0,1
285,7,0,1
286,7,0,1
287,13,1,1
288,9,1,1
289,12,1,1
290,23,1,1
291,7,0,1
292,37,1,1
293,1,1,1
294,16,1,1
295,42,1,1
296,28,1,1
297,23,1,1
298,13,1,1
299,54,1,1
300,13,1,1
301,28,1,1
302,26,1,1
303,7,0,1
304,43,1,1
305,40,1,1
306,7,0,1
307,21,1,1
308,43,1,1
309,5,1,1
310,10,1,1
311,24,0,1
312,31,1,1
313,21,1,1
314,7,0,1
315,26,1,1
316,41,1,1
317,30,0,1
318,20,1,1
319,44,1,1
320,9,1,1
321,7,0,1
322,20,1,1
323,9,1,1
324,31,1,1
325,22,1,1
326,50,1,1
327,33,0,1
328,50,1,1
329,22,1,1
330,21,1,1
331,28,1,1
332,6,0,1
333,0,1,1
334,44,1,1
335,18,0,1
336,17,1,1
337,21,1,1
338,21,1,1
339,21,1,1
340,6,0,1
341,0,1,1
342,19,0,1
343,33,0,1
344,10,1,1
345,10,1,1
346,9,1,1
347,11,0,1
348,0,1,1
349,8,1,1
350,29,1,1
351,17,1,1
352,23,1,1
353,29,1,1
354,21,1,1
355,2,1,1
356,21,1,1
