vote,public_key_id,honest,valid
0,4,1,1
1,2,0,1
2,2,0,1
3,4,1,1
4,6,1,1
5,10,1,1
6,2,0,1
7,1,1,1
8,2,0,1
9,6,1,1
10,1,1,1
11,4,1,1
12,1,1,1
13,4,1,1
14,20,0,1
15,8,0,1
16,2,0,1
17,8,0,1
18,2,0,1
19,2,0,1
20,1,1,1
21,1,1,1
22,1,1,1
23,4,1,1
24,2,0,1
25,2,0,1
26,2,0,1
27,2,0,1
28,1,1,1
29,16,0,1
30,6,1,1
31,4,1,1
32,2,0,1
33,1,1,1
34,1,1,1
35,20,0,1
36,1,1,1
37,6,1,1
38,2,0,1
39,1,1,1
40,2,0,1
41,2,0,1
42,1,1,1
43,4,1,1
44,1,1,1
45,1,1,1
46,2,0,1
47,6,1,1
48,2,0,1
49,1,1,1
50,4,1,1
51,1,1,1
52,1,1,1
53,8,0,1
54,2,0,1
55,2,0,1
56,2,0,1
57,2,0,1
58,6,1,1
59,10,1,1
60,23,0,1
61,2,0,1
62,1,1,1
63,4,1,1
64,2,0,1
65,1,1,1
66,8,0,1
67,1,1,1
68,2,0,1
69,4,1,1
70,1,1,1
71,1,1,1
72,1,1,1
73,4,1,1
74,2,0,1
75,10,1,1
76,1,1,1
77,2,0,1
78,2,0,1
79,1,1,1
80,1,1,1
81,1,1,1
82,1,1,1
83,1,1,1
84,2,0,1
85,8,0,1
86,4,1,1
87,10,1,1
88,1,1,1
89,2,0,1
90,2,0,1
91,1,1,1
92,2,0,1
93,8,0,1
94,22,1,1
95,1,1,1
96,1,1,1
97,1,1,1
98,2,0,1
99,1,1,1
100,2,0,1
101,2,0,1
102,2,0,1
103,4,1,1
104,10,1,1
105,6,1,1
106,6,1,1
107,2,0,1
108,6,1,1
109,4,1,1
110,22,1,1
111,4,1,1
112,6,1,1
113,6,1,1
114,1,1,1
115,1,1,1
116,10,1,1
117,4,1,1
118,1,1,1
119,10,1,1
120,1,1,1
121,20,0,1
122,10,1,1
123,2,0,1
124,1,1,1
125,1,1,1
126,1,1,1
127,1,1,1
128,6,1,1
129,1,1,1
130,27,0,1
131,20,0,1
132,2,0,1
133,10,1,1
134,4,1,1
135,2,0,1
136,4,1,1
137,2,0,1
138,20,0,1
139,4,1,1
140,2,0,1
141,30,0,1
142,2,0,1
143,6,1,1
144,6,1,1
145,1,1,1
146,2,0,1
147,20,0,1
148,10,1,1
149,1,1,1
150,1,1,1
151,1,1,0
152,2,0,1
153,1,1,1
154,1,1,1
155,6,1,1
156,1,1,1
157,2,0,1
158,6,1,1
159,4,1,1
160,27,0,1
161,20,0,1
162,10,1,1
163,1,1,1
164,6,1,1
165,2,0,1
166,1,1,1
167,10,1,1
168,30,0,1
169,1,1,1
170,10,1,1
171,4,1,1
172,1,1,1
173,1,1,1
174,1,1,1
175,2,0,1
176,1,1,1
177,1,1,1
178,2,0,1
179,2,0,1
180,1,1,1
181,4,1,1
182,1,1,1
183,2,0,1
184,8,0,1
185,1,1,1
186,1,1,1
187,2,0,1
188,1,1,1
189,1,1,1
190,1,1,1
191,1,1,1
192,4,1,1
193,1,1,1
194,1,1,1
195,1,1,1
196,1,1,1
197,11,0,1
198,1,1,1
199,10,1,1
200,22,1,1
201,1,1,1
202,10,1,1
203,30,0,1
204,2,0,1
205,1,1,1
206,2,0,1
207,1,1,1
208,1,1,1
209,20,0,1
210,1,1,1
211,1,1,1
212,1,1,1
213,2,0,1
214,6,1,1
215,2,0,1
216,2,0,1
217,2,0,1
218,4,1,1
219,10,1,1
220,4,1,1
221,1,1,1
222,1,1,1
223,2,0,1
224,11,0,1
225,4,1,1
226,10,1,1
227,1,1,1
228,2,0,1
229,2,0,1
230,6,1,1
231,2,0,1
232,6,1,1
233,6,1,1
234,2,0,1
235,2,0,1
236,6,1,1
237,10,1,1
238,1,1,1
239,6,1,1
240,8,0,1
241,8,0,1
242,6,1,1
243,6,1,1
244,1,1,1
245,4,1,1
246,1,1,1
247,1,1,1
248,4,1,1
249,10,1,1
250,4,1,1
251,2,0,1
252,1,1,1
253,2,0,1
254,1,1,1
255,4,1,1
256,4,1,1
257,4,1,1
258,1,1,1
259,4,1,1
260,4,1,1
261,2,0,1
262,1,1,1
263,1,1,1
264,2,0,1
265,8,0,1
266,1,1,1
267,2,0,1
268,1,1,1
269,1,1,1
270,1,1,1
271,1,1,1
272,4,1,1
273,1,1,1
274,22,1,1
275,1,1,1
276,4,1,1
277,1,1,0
278,1,1,1
279,16,0,1
280,4,1,1
281,4,1,1
282,6,1,1
283,1,1,1
284,4,1,1
285,4,1,1
286,4,1,1
287,2,0,1
288,2,0,1
289,1,1,1
290,2,0,1
291,1,1,1
292,1,1,1
293,27,0,1
294,2,0,1
295,6,1,1
296,1,1,1
297,4,1,1
298,2,0,1
299,2,0,1
300,1,1,1
301,8,0,1
302,22,1,1
303,1,1,1
304,2,0,1
305,2,0,1
306,6,1,1
307,1,1,0
308,6,1,1
309,1,1,1
310,2,0,1
311,2,0,1
312,2,0,1
313,1,1,1
314,1,1,1
315,1,1,1
316,2,0,1
317,6,1,1
318,2,0,1
319,2,0,1
320,1,1,1
321,4,1,1
322,2,0,1
323,2,0,1
324,8,0,1
325,2,0,1
326,16,0,1
327,11,0,1
328,1,1,1
329,1,1,1
330,2,0,1
331,6,1,1
332,1,1,1
333,2,0,1
334,1,1,1
335,2,0,1
336,1,1,1
337,20,0,1
338,1,1,1
339,2,0,1
340,1,1,1
341,10,1,1
342,1,1,1
343,22,1,1
344,23,0,1
345,4,1,1
346,1,1,1
347,2,0,1
348,1,1,1
349,1,1,1
350,2,0,1
351,1,1,1
352,1,1,1
353,10,1,1
354,1,1,1
355,2,0,1
356,1,1,1
357,6,1,1
358,1,1,1
359,2,0,1
360,1,1,1
361,25,1,1
362,22,1,1
363,2,0,1
364,6,1,1
365,8,0,1
366,1,1,1
367,2,0,1
368,6,1,1
369,1,1,1
370,2,0,1
371,2,0,1
372,1,1,1
373,1,1,1
374,6,1,1
375,4,1,1
376,6,1,1
377,2,0,1
378,27,0,1
379,4,1,1
380,1,1,1
381,1,1,1
382,4,1,1
383,2,0,1
384,8,0,1
385,8,0,1
386,2,0,1
387,1,1,1
388,1,1,1
389,4,1,1
